Open,High,Low,Close,Volume
0.004289072893030425,0.003739441290415692,0.004242707422508983,0.004143586594572117,4.3144924063041694e-05
0.0041554281086996145,0.0035744606352884067,0.003648874692283684,0.0036554632120833225,8.140091465623854e-05
0.00366922343329598,0.0031512193806404786,0.0032173424079937076,0.00321556748182891,9.119257226166671e-05
0.0032324006153202564,0.0030850318499322654,0.0032981600792489313,0.0034249200357190585,8.818341480579805e-05
0.0034314717518180065,0.0029265260329173455,0.003347970933041716,0.003275295936498543,5.8882524078191254e-05
0.003298109618025496,0.0028461792995246498,0.0034076140711445956,0.0033247254760247497,5.18945885981061e-05
0.003342519271993587,0.0033513132386032377,0.003393522451595911,0.003823903595017202,0.00011165005611892068
0.0038421122518211915,0.0032719143681094656,0.003770124014564669,0.0036371364687476726,7.041539569865717e-05
0.0036551674575683955,0.003088298194382077,0.003593958720310765,0.003464541106197183,5.955011766962202e-05
0.0034811059110885995,0.0029631558163910983,0.0034510965326826648,0.0033584548533353454,4.429604574865001e-05
0.0033642489380566742,0.0028419067963826004,0.0034112691440200435,0.0032856682147698046,2.5970701389764123e-05
0.0033036163209006937,0.0027601605189443105,0.00306328823050916,0.0029541737516333736,5.04291878978379e-05
0.002969015610184521,0.002529678087440851,0.003031691900031879,0.0029287393892151433,7.574360746125013e-05
0.0029565477318724536,0.0026137575316298716,0.0030498612534682174,0.0030990496261912017,8.20394452744188e-05
0.0031248498206687646,0.0026196195964033556,0.0031606744899931,0.003049649522487892,5.788327067437235e-05
0.003073805579465911,0.0025338486841961147,0.00304235521793522,0.002922877584729323,4.519899243718782e-05
0.0029430851410890586,0.0024200802159861645,0.0028144911533062064,0.002691978461337413,7.119468228532518e-05
0.0027161539020132157,0.0022274815950217948,0.002331591958977857,0.0022372140176495246,0.00011773903394601221
0.0022563838464248016,0.001896675218267199,0.0017789610723098303,0.002113217198701919,0.00022051823293141385
0.002129819820450911,0.0019452769996610173,0.0019792917910009165,0.002255214249780424,0.00020827674903687853
0.002281142040531285,0.0018594331064606196,0.0022499736746602566,0.0023458525827859365,0.00012333337136562452
0.0023632520219076724,0.002079868636241546,0.0023512565275980476,0.0025944548629268935,0.00013910829735622326
0.0026101169184178158,0.00249344213432651,0.002660860097750997,0.0027738023503911333,0.00022146707632319867
0.00278732521696424,0.002381758519488135,0.0027405452956071057,0.002722399252154389,0.00010756471385945236
0.0027379728023007362,0.002266911356598845,0.002785673692231962,0.0027333357925076454,2.117217656121717e-05
0.0027564370393083574,0.002445423755871889,0.0027885889931067672,0.002974474053679561,3.316093795816163e-05
0.0029837542050807258,0.002704880531670612,0.0029812016543830527,0.0031505419376142646,8.35042761124664e-05
0.003188154028970416,0.002915910413455458,0.0033199241254161156,0.00330570133011585,9.28218083503569e-05
0.003325642679435876,0.0027778045640520195,0.0032812895902972097,0.00321522647914212,5.5141378599964224e-05
0.0032301000030061063,0.002727934515399078,0.003044227924252111,0.003033934868790238,6.005045669930722e-05
0.003055519357941546,0.002533571445423331,0.003079252556374735,0.0030517716188893564,2.1900175548031343e-05
0.0030736275639826546,0.002674724696297112,0.003133352705019843,0.0031657964867570984,1.5677565030209543e-05
